booking_code,customer_id,ticket_source_name,created_date,trip_date,from_to,comp_id,bus_rating,vehicle_type,seat_type,quantity,total_fare,customer_type
1HIN6,EQNUx+xl+e5MlyHgwDkw, Android,7/1/2020,7/4/2020,Bà Rịa-Vũng Tàu - Hồ Chí Minh,lLV8hRohIkGlsw/SwJRqvbXYk1y1VUs79EtD/Rf7UNc,4.7,limousine,Seater,1,128000,Old Customer
9H3K3,EQNUx+xl+e5MlyHgwDkw, Android,7/1/2020,7/2/2020,Hồ Chí Minh - Bà Rịa-Vũng Tàu,lLV8hRohIkGlsw/SwJRqvbXYk1y1VUs79EtD/Rf7UNc,4.7,limousine,Seater,1,192000,Old Customer
8084T,Er2DoWdRCiZZvvE8pMfA, Android,8/25/2020,8/25/2020,Hồ Chí Minh - Khánh Hòa,30dR03KsYbSO+A+wNXESZLvmAmMzwcnPxZT7b1bxioA,2.9,limousine,Sleeper,1,300000,New Customer
1N04S,ER2OvO3/UF6dlIydh2AA, Android,8/19/2020,8/19/2020,Hà Nội - Nghệ An,G29Krp2D4RNoD3mBRPI76T1M+EN4CaHcAVNRxWXFSfA,4.4,limousine,Sleeper,1,160000,Old Customer
51X1C,eRIsdZPvhs+56gZ9N6Uw, iOS,7/22/2020,7/27/2020,Đà Nẵng - Lâm Đồng,FtGCLhWQ2TPqVeUc7qC692of30naefCFDIkAnXAdPwE,2.9,normal,Sleeper,1,220000,New Customer
B1E8Q,ERSrzj2Vy/rAYNgndtWQ, Android,8/24/2020,8/26/2020,Hồ Chí Minh - Bà Rịa-Vũng Tàu,/0tyLu4Sw+JtF8QKO/Pt43DUjfpY8Ixqj/vI7jb/Zks,3.9,limousine,Seater,1,192000,Old Customer
3H6M7,ERSrzj2Vy/rAYNgndtWQ, Android,8/23/2020,8/26/2020,Hồ Chí Minh - Bà Rịa-Vũng Tàu,/0tyLu4Sw+JtF8QKO/Pt43DUjfpY8Ixqj/vI7jb/Zks,3.9,limousine,Seater,1,192000,Old Customer
1961T,ERvYZZGdETY4D+NFSkbw, iOS,8/11/2020,8/11/2020,Hồ Chí Minh - Phú Yên,ghiHMPDYNzX7f9Ds6+edrYLdWhdrLTzSL110K8ZIiIE,3.9,limousine,Sleeper,3,1692000,Old Customer
UQGG2,ERvYZZGdETY4D+NFSkbw, iOS,8/4/2020,8/7/2020,Phú Yên - Hồ Chí Minh,ugVDwYZjDXEFvjunZSRZSCnO9l5d6xpNTTwMN22cAk0,4.2,limousine,Sleeper,3,840000,New Customer
V183M,erWApOkIyD36C0OEiQPQ, iOS,8/27/2020,8/30/2020,Hồ Chí Minh - Đắk Lắk,VQskpo8A72uzGQSXOP04omN3AHsYV5orHuSrObloJV8,4.5,limousine,Sleeper,2,912000,Old Customer
R9NGM,eRWbvao7FshlstQRG6yA, Android,7/17/2020,7/18/2020,Bình Thuận - Lâm Đồng,w6WyQM9WSbjx0gJToO4gBBcTSbRPCFGs5NNr4TmP4m8,3.5,normal,Sleeper,1,168000,New Customer
183WC,eRWbvao7FshlstQRG6yA, Android,7/17/2020,7/18/2020,Bình Thuận - Lâm Đồng,w6WyQM9WSbjx0gJToO4gBBcTSbRPCFGs5NNr4TmP4m8,3.5,normal,Sleeper,2,224000,New Customer
YSNG2,eSgsNYb2iQfb58+jvElg, iOS,7/29/2020,7/30/2020,Đắk Lắk - Lâm Đồng,oU5cdQ0VWMyBtiisiguDfTl+gEyPh/TgpZ0wCu0fuBQ,3.8,limousine,Seater,1,240000,New Customer
YSNG2,eSgsNYb2iQfb58+jvElg, iOS,7/29/2020,7/30/2020,Đắk Lắk - Lâm Đồng,oU5cdQ0VWMyBtiisiguDfTl+gEyPh/TgpZ0wCu0fuBQ,3.8,limousine,Seater,1,160000,New Customer
68CZ2,ESjOLSE2tw0Tsx4UMaJw, Android,7/12/2020,7/13/2020,Sơn La - Hà Nội,Jhp2zCWA8Xj1rpmUt+TatVltDQDDYrpy4h+5QeuuZSQ,4.8,limousine,Seater,2,352000,Old Customer
27OSY,ESjOLSE2tw0Tsx4UMaJw, Android,7/11/2020,7/11/2020,Hà Nội - Sơn La,Jhp2zCWA8Xj1rpmUt+TatVltDQDDYrpy4h+5QeuuZSQ,4.8,limousine,Seater,1,264000,Old Customer
H335N,eTDkiuP8RM0I/rasKzqQ, iOS,7/1/2020,7/15/2020,Hồ Chí Minh - Lâm Đồng,6ByIZdC7qv8Nq0iDmaK5Q2V9sdb9R0oXMzAOz1d82Hs,4,limousine,Seater,2,560000,Old Customer
RPGC4,eTDkiuP8RM0I/rasKzqQ, iOS,7/1/2020,7/19/2020,Lâm Đồng - Hồ Chí Minh,0EMFMA6vikQTNUEnZHY5c/NkwOjy2F8woFfKbFL1W7A,4.2,limousine,Seater,2,480000,Old Customer
173OJ,eu2eRaVPvYPeTjf/Bldw, iOS,8/21/2020,8/23/2020,Hồ Chí Minh - Khánh Hòa,8vV+zp4z7QG/vEnNk7tOynx604GjCvjWymEWFCSCV3c,4.1,normal,Sleeper,2,464000,Old Customer
8YCU1,Eu69sPyOzj3X8J/LK6rw, Android,8/27/2020,8/27/2020,Hồ Chí Minh - Ninh Thuận,ArTcLcsVc9jq4IEWiBcE9KySLs0N+bUQGyqcF2cvYus,4.2,normal,Sleeper,1,192000,Old Customer
W837P,euNai2cQAcN3xip0bD4g, Android,7/29/2020,7/29/2020,Hồ Chí Minh - Kiên Giang,OJR6c4Dznvo3s55VV29CkKBAXxDyv3ZGzkkZU+2AQHM,4.9,limousine,Sleeper,1,224000,Old Customer
60E43,EUqMRsUGh9iGz7r9mK0w, iOS,7/25/2020,7/25/2020,Bà Rịa-Vũng Tàu - Hồ Chí Minh,lsflCU0tfkL7xAt53u1glgiDeVVPMwsRNQEojVnmVV4,3.5,limousine,Seater,2,384000,New Customer
OU85J,ev1UaGwMipAU3NWD1JeA, iOS,7/8/2020,7/12/2020,Vĩnh Phúc - Hà Nội,6vKk7uOgaZfniON1IeToLe965E66QlACg0FA4B11288,4.2,normal,Seater,2,256000,Old Customer
PKEZN,ev1UaGwMipAU3NWD1JeA, iOS,7/8/2020,7/10/2020,Hà Nội - Vĩnh Phúc,6vKk7uOgaZfniON1IeToLe965E66QlACg0FA4B11288,4.2,normal,Seater,2,384000,Old Customer
